Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0019693,ribose phosphate metabolic process,19_GO:0008152 metabolic process,-4.2,3.2,4.9,30169,409,374,16,4.3,1,570|1716|1723|3251|4695|4722|4723|4724|4728|7040|8802|8803|51422|51715|79621|374291,BAAT|DGUOK|DHODH|HPRT1|NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|TGFB1|SUCLG1|SUCLA2|PRKAG2|RAB23|RNASEH2B|NDUFS7,-3,MyList
Chemical And Genetic Perturbations,13,M1376,GOTZMANN EPITHELIAL TO MESENCHYMAL TRANSITION DN,,-4.2,4.3,5.3,30169,207,374,11,2.9,0.87,999|1029|1432|1499|2353|2950|4014|5825|7153|7157|51082,CDH1|CDKN2A|MAPK14|CTNNB1|FOS|GSTP1|LORICRIN|ABCD3|TOP2A|TP53|POLR1D,-3,MyList
GO Biological Processes,19,GO:0003179,heart valve morphogenesis,19_GO:0032502 developmental process,-4.2,8.8,6.5,30169,55,374,6,1.6,0.65,2625|4194|4851|4853|5925|7040,GATA3|MDM4|NOTCH1|NOTCH2|RB1|TGFB1,-3,MyList
Chemical And Genetic Perturbations,13,M2257,SONG TARGETS OF IE86 CMV PROTEIN,,-4.2,8.8,6.5,30169,55,374,6,1.6,0.65,580|641|5873|5889|6117|6240,BARD1|BLM|RAB27A|RAD51C|RPA1|RRM1,-3,MyList
GO Biological Processes,19,GO:0070371,ERK1 and ERK2 cascade,19_GO:0023052 signaling,-4.2,8.8,6.5,30169,55,374,6,1.6,0.65,25|551|1950|3479|5594|91662,ABL1|AVP|EGF|IGF1|MAPK1|NLRP12,-3,MyList
WikiPathways,27,WP2272,Pathogenic Escherichia coli infection,,-4.2,8.8,6.5,30169,55,374,6,1.6,0.65,25|998|999|1499|2534|81027,ABL1|CDC42|CDH1|CTNNB1|FYN|TUBB1,-3,MyList
GO Biological Processes,19,GO:2001242,regulation of intrinsic apoptotic signaling pathway,19_GO:0023052 signaling,-4.2,4.7,5.4,30169,172,374,10,2.7,0.83,207|596|3630|3932|4722|5291|6648|6714|7157|7466,AKT1|BCL2|INS|LCK|NDUFS3|PIK3CB|SOD2|SRC|TP53|WFS1,-3,MyList
Reactome Gene Sets,6,R-HSA-881907,Gastrin-CREB signalling pathway via PKC and MAPK,,-4.2,18,8,30169,18,374,4,1.1,0.53,1956|2885|3845|5594,EGFR|GRB2|KRAS|MAPK1,-3,MyList
WikiPathways,27,WP2813,Mammary gland development pathway - Embryonic development (Stage 1 of 4),,-4.2,18,8,30169,18,374,4,1.1,0.53,207|595|999|7040,AKT1|CCND1|CDH1|TGFB1,-3,MyList
Reactome Gene Sets,6,R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants,,-4.2,18,8,30169,18,374,4,1.1,0.53,2885|5290|5295|6774,GRB2|PIK3CA|PIK3R1|STAT3,-3,MyList
Reactome Gene Sets,6,R-HSA-5654221,Phospholipase C-mediated cascade; FGFR2,,-4.2,18,8,30169,18,374,4,1.1,0.53,2248|2249|2263|5335,FGF3|FGF4|FGFR2|PLCG1,-3,MyList
GO Biological Processes,19,GO:0044320,cellular response to leptin stimulus,19_GO:0050896 response to stimulus,-4.2,18,8,30169,18,374,4,1.1,0.53,583|585|6774|8195,BBS2|BBS4|STAT3|MKKS,-3,MyList
Chemical And Genetic Perturbations,13,M2323,DORMOY ELAVL1 TARGETS,,-4.2,18,8,30169,18,374,4,1.1,0.53,570|1017|3569|9939,BAAT|CDK2|IL6|RBM8A,-3,MyList
GO Biological Processes,19,GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",19_GO:0023052 signaling,-4.2,18,8,30169,18,374,4,1.1,0.53,472|1027|7157|11200,ATM|CDKN1B|TP53|CHEK2,-3,MyList
GO Biological Processes,19,GO:0008654,phospholipid biosynthetic process,19_GO:0008152 metabolic process,-4.2,4,5.2,30169,245,374,12,3.2,0.91,472|1103|5290|5291|5295|5296|5728|8503|8821|9488|23396|51099,ATM|CHAT|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PTEN|PIK3R3|INPP4B|PIGB|PIP5K1C|ABHD5,-3,MyList
GO Biological Processes,19,GO:0033138,positive regulation of peptidyl-serine phosphorylation,19_GO:0048518 positive regulation of biological process,-4.2,6,5.8,30169,108,374,8,2.1,0.75,207|551|596|1956|3569|5290|7040|7422,AKT1|AVP|BCL2|EGFR|IL6|PIK3CA|TGFB1|VEGFA,-3,MyList
GO Biological Processes,19,GO:0032231,regulation of actin filament bundle assembly,19_GO:0050789 regulation of biological process,-4.2,6,5.8,30169,108,374,8,2.1,0.75,25|585|998|4771|5295|5296|5879|8195,ABL1|BBS4|CDC42|NF2|PIK3R1|PIK3R2|RAC1|MKKS,-3,MyList
GO Biological Processes,19,GO:1902106,negative regulation of leukocyte differentiation,19_GO:0002376 immune system process,-4.2,6,5.8,30169,108,374,8,2.1,0.75,1499|2064|2200|3146|3659|4763|4982|5295,CTNNB1|ERBB2|FBN1|HMGB1|IRF1|NF1|TNFRSF11B|PIK3R1,-3,MyList
WikiPathways,27,WP4321,Thermogenesis,,-4.2,6,5.8,30169,108,374,8,2.1,0.75,1432|2260|2885|3845|6598|6605|8289|51422,MAPK14|FGFR1|GRB2|KRAS|SMARCB1|SMARCE1|ARID1A|PRKAG2,-3,MyList
GO Biological Processes,19,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,19_GO:0023052 signaling,-4.2,7.1,6.1,30169,80,374,7,1.9,0.7,1950|2065|2260|3479|3630|3717|6714,EGF|ERBB3|FGFR1|IGF1|INS|JAK2|SRC,-3,MyList
Reactome Gene Sets,6,R-HSA-438064,Post NMDA receptor activation events,,-4.2,7.1,6.1,30169,80,374,7,1.9,0.7,3845|5170|5594|5879|6714|51422|81027,KRAS|PDPK1|MAPK1|RAC1|SRC|PRKAG2|TUBB1,-3,MyList
Reactome Gene Sets,6,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,,-4.2,7.1,6.1,30169,80,374,7,1.9,0.7,472|1017|1027|4361|4683|5925|7157,ATM|CDK2|CDKN1B|MRE11|NBN|RB1|TP53,-3,MyList
Chemical And Genetic Perturbations,13,M2461,DELACROIX RARG BOUND MEF,,-4.2,3.3,5,30169,367,374,15,4,1,595|1565|2263|2512|4728|4982|5296|5828|6714|7422|10413|23111|23529|25937|91252,CCND1|CYP2D6|FGFR2|FTL|NDUFS8|TNFRSF11B|PIK3R2|PEX2|SRC|VEGFA|YAP1|SPART|CLCF1|WWTR1|SLC39A13,-3,MyList
GO Molecular Functions,21,GO:0002020,protease binding,,-4.2,5.2,5.6,30169,139,374,9,2.4,0.79,596|675|3630|5054|5728|7157|56975|147372|374291,BCL2|BRCA2|INS|SERPINE1|PTEN|TP53|FAM20C|CCBE1|NDUFS7,-3,MyList
Reactome Gene Sets,6,R-HSA-112412,SOS-mediated signalling,,-4.2,35,10,30169,7,374,3,0.8,0.46,2885|3667|3845,GRB2|IRS1|KRAS,-3,MyList
Reactome Gene Sets,6,R-HSA-6802953,RAS signaling downstream of NF1 loss-of-function variants,,-4.2,35,10,30169,7,374,3,0.8,0.46,3845|4763|161742,KRAS|NF1|SPRED1,-3,MyList
GO Biological Processes,19,GO:1990414,replication-born double-strand break repair via sister chromatid exchange,19_GO:0050896 response to stimulus,-4.2,35,10,30169,7,374,3,0.8,0.46,5888|7515|25836,RAD51|XRCC1|NIPBL,-3,MyList
GO Biological Processes,19,GO:0071316,cellular response to nicotine,19_GO:0050896 response to stimulus,-4.2,35,10,30169,7,374,3,0.8,0.46,4790|5970|7054,NFKB1|RELA|TH,-3,MyList
WikiPathways,27,WP2942,DDX1 as a regulatory component of the Drosha microprocessor,,-4.2,35,10,30169,7,374,3,0.8,0.46,472|4361|4683,ATM|MRE11|NBN,-3,MyList
Reactome Gene Sets,6,R-HSA-9028335,Activated NTRK2 signals through PI3K,,-4.2,35,10,30169,7,374,3,0.8,0.46,2885|5290|5295,GRB2|PIK3CA|PIK3R1,-3,MyList
GO Molecular Functions,21,GO:0010484,H3 histone acetyltransferase activity,,-4.2,35,10,30169,7,374,3,0.8,0.46,675|2033|8850,BRCA2|EP300|KAT2B,-3,MyList
CORUM,33,CORUM:1189,DNA double-strand break end-joining complex,,-4.2,35,10,30169,7,374,3,0.8,0.46,3981|4361|4683,LIG4|MRE11|NBN,-3,MyList
GO Biological Processes,19,GO:0060745,mammary gland branching involved in pregnancy,19_GO:0022414 reproductive process,-4.2,35,10,30169,7,374,3,0.8,0.46,367|2099|5469,AR|ESR1|MED1,-3,MyList
GO Molecular Functions,21,GO:0030235,nitric-oxide synthase regulator activity,,-4.2,35,10,30169,7,374,3,0.8,0.46,207|1956|2099,AKT1|EGFR|ESR1,-3,MyList
CORUM,33,CORUM:2529,"LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated",,-4.2,35,10,30169,7,374,3,0.8,0.46,2885|5295|5335,GRB2|PIK3R1|PLCG1,-3,MyList
CORUM,33,CORUM:3137,MASH1 promoter-coactivator complex,,-4.2,35,10,30169,7,374,3,0.8,0.46,1387|6714|8850,CREBBP|SRC|KAT2B,-3,MyList
Reactome Gene Sets,6,R-HSA-9032500,Activated NTRK2 signals through FYN,,-4.2,35,10,30169,7,374,3,0.8,0.46,2534|5879|6714,FYN|RAC1|SRC,-3,MyList
GO Biological Processes,19,GO:0000019,regulation of mitotic recombination,19_GO:0008152 metabolic process,-4.2,35,10,30169,7,374,3,0.8,0.46,2068|4292|4361,ERCC2|MLH1|MRE11,-3,MyList
GO Biological Processes,19,GO:0009260,ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-4.2,4.2,5.3,30169,209,374,11,2.9,0.87,1716|1723|3251|4695|4722|4723|4724|4728|7040|51422|374291,DGUOK|DHODH|HPRT1|NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|TGFB1|PRKAG2|NDUFS7,-3,MyList
GO Molecular Functions,21,GO:0099106,ion channel regulator activity,,-4.2,5.2,5.6,30169,140,374,9,2.4,0.79,207|3753|6330|6640|7809|9992|10008|23171|55800,AKT1|KCNE1|SCN4B|SNTA1|BSND|KCNE2|KCNE3|GPD1L|SCN3B,-3,MyList
Reactome Gene Sets,6,R-HSA-1912422,Pre-NOTCH Expression and Processing,,-4.2,5.9,5.8,30169,109,374,8,2.1,0.75,595|1387|2033|3725|4851|4853|7157|8850,CCND1|CREBBP|EP300|JUN|NOTCH1|NOTCH2|TP53|KAT2B,-3,MyList
Chemical And Genetic Perturbations,13,M9483,SUNG METASTASIS STROMA UP,,-4.2,5.9,5.8,30169,109,374,8,2.1,0.75,240|1290|3730|4179|5351|5352|5594|5993,ALOX5|COL5A2|ANOS1|CD46|PLOD1|PLOD2|MAPK1|RFX5,-3,MyList
Chemical And Genetic Perturbations,13,M854,LINDGREN BLADDER CANCER CLUSTER 3 UP,,-4.2,3.5,5,30169,327,374,14,3.7,0.98,672|1017|2052|2064|4835|5888|5889|6119|6640|7153|8802|10535|23054|79710,BRCA1|CDK2|EPHX1|ERBB2|NQO2|RAD51|RAD51C|RPA3|SNTA1|TOP2A|SUCLG1|RNASEH2A|NCOA6|MORC4,-3,MyList
GO Biological Processes,19,GO:0042733,embryonic digit morphogenesis,19_GO:0032502 developmental process,-4.2,8.6,6.4,30169,56,374,6,1.6,0.65,1387|1499|4038|4851|51057|54903,CREBBP|CTNNB1|LRP4|NOTCH1|WDPCP|MKS1,-3,MyList
GO Biological Processes,19,GO:0031060,regulation of histone methylation,19_GO:0008152 metabolic process,-4.2,7,6,30169,81,374,7,1.9,0.7,672|1499|2625|4204|6598|10664|79813,BRCA1|CTNNB1|GATA3|MECP2|SMARCB1|CTCF|EHMT1,-3,MyList
GO Biological Processes,19,GO:2001251,negative regulation of chromosome organization,19_GO:0048519 negative regulation of biological process,-4.2,7,6,30169,81,374,7,1.9,0.7,472|701|2067|4683|6714|7153|7515,ATM|BUB1B|ERCC1|NBN|SRC|TOP2A|XRCC1,-3,MyList
GO Biological Processes,19,GO:0001837,epithelial to mesenchymal transition,19_GO:0032502 developmental process,-4.2,7,6,30169,81,374,7,1.9,0.7,1499|2260|2263|3479|4851|6949|7040,CTNNB1|FGFR1|FGFR2|IGF1|NOTCH1|TCOF1|TGFB1,-3,MyList
Canonical Pathways,11,M249,PID PI3KCI AKT PATHWAY,,-4.2,12,7,30169,35,374,5,1.3,0.59,207|1027|5170|6714|10000,AKT1|CDKN1B|PDPK1|SRC|AKT3,-3,MyList
Canonical Pathways,11,M197,PID HIV NEF PATHWAY,,-4.2,12,7,30169,35,374,5,1.3,0.59,596|841|4790|5599|5970,BCL2|CASP8|NFKB1|MAPK8|RELA,-3,MyList
GO Biological Processes,19,GO:0032205,negative regulation of telomere maintenance,19_GO:0048519 negative regulation of biological process,-4.2,12,7,30169,35,374,5,1.3,0.59,472|2067|4683|6714|7515,ATM|ERCC1|NBN|SRC|XRCC1,-3,MyList
Reactome Gene Sets,6,R-HSA-8953750,Transcriptional Regulation by E2F6,,-4.2,12,7,30169,35,374,5,1.3,0.59,672|4149|5888|5932|79813,BRCA1|MAX|RAD51|RBBP8|EHMT1,-3,MyList
GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-4.2,4.2,5.3,30169,210,374,11,2.9,0.87,25|2064|2625|3146|3659|4179|6598|6605|8289|8546|11005,ABL1|ERBB2|GATA3|HMGB1|IRF1|CD46|SMARCB1|SMARCE1|ARID1A|AP3B1|SPINK5,-3,MyList
GO Biological Processes,19,GO:0052547,regulation of peptidase activity,19_GO:0008152 metabolic process,-4.2,3,4.8,30169,459,374,17,4.5,1.1,207|551|841|2534|3146|3717|3730|3932|5054|5447|6714|6774|7422|11005|23400|64065|91662,AKT1|AVP|CASP8|FYN|HMGB1|JAK2|ANOS1|LCK|SERPINE1|POR|SRC|STAT3|VEGFA|SPINK5|ATP13A2|PERP|NLRP12,-3,MyList
GO Biological Processes,19,GO:0021782,glial cell development,19_GO:0032502 developmental process,-4.2,5.9,5.7,30169,110,374,8,2.1,0.75,207|429|2068|3766|3845|4763|5728|6663,AKT1|ASCL1|ERCC2|KCNJ10|KRAS|NF1|PTEN|SOX10,-3,MyList
Immunologic Signatures,3,M6694,GSE3920 UNTREATED VS IFNB TREATED ENDOTHELIAL CELL DN,,-4.1,4.6,5.4,30169,175,374,10,2.7,0.83,2317|5192|6117|6119|7153|7504|79621|145173|157570|219844,FLNB|PEX10|RPA1|RPA3|TOP2A|XK|RNASEH2B|B3GLCT|ESCO2|HYLS1,-3,MyList
GO Biological Processes,19,GO:0044270,cellular nitrogen compound catabolic process,19_GO:0008152 metabolic process,-4.1,3.4,5,30169,329,374,14,3.7,0.98,472|1565|1890|3251|4292|5447|7389|8802|8803|9939|10535|11277|79621|84153,ATM|CYP2D6|TYMP|HPRT1|MLH1|POR|UROD|SUCLG1|SUCLA2|RBM8A|RNASEH2A|TREX1|RNASEH2B|RNASEH2C,-3,MyList
GO Cellular Components,20,GO:0005901,caveola,,-4.1,6.9,6,30169,82,374,7,1.9,0.7,999|1499|3667|3717|5594|6714|161742,CDH1|CTNNB1|IRS1|JAK2|MAPK1|SRC|SPRED1,-3,MyList
Chemical And Genetic Perturbations,13,M17082,HADDAD T LYMPHOCYTE AND NK PROGENITOR UP,,-4.1,6.9,6,30169,82,374,7,1.9,0.7,783|2625|2812|3075|5352|8821|9531,CACNB2|GATA3|GP1BB|CFH|PLOD2|INPP4B|BAG3,-3,MyList
GO Biological Processes,19,GO:2000736,regulation of stem cell differentiation,19_GO:0032502 developmental process,-4.1,6.9,6,30169,82,374,7,1.9,0.7,25|1108|2668|4851|6774|10413|166379,ABL1|CHD4|GDNF|NOTCH1|STAT3|YAP1|BBS12,-3,MyList
Chemical And Genetic Perturbations,13,M939,HADDAD B LYMPHOCYTE PROGENITOR,,-4.1,3.6,5,30169,289,374,13,3.5,0.95,240|472|545|580|1027|3725|3759|5925|6648|7153|7466|8850|89781,ALOX5|ATM|ATR|BARD1|CDKN1B|JUN|KCNJ2|RB1|SOD2|TOP2A|WFS1|KAT2B|HPS4,-3,MyList
WikiPathways,27,WP2858,Ectoderm differentiation,,-4.1,5.1,5.5,30169,142,374,9,2.4,0.79,1499|2263|2534|4204|4771|4982|51422|54903|170302,CTNNB1|FGFR2|FYN|MECP2|NF2|TNFRSF11B|PRKAG2|MKS1|ARX,-3,MyList
Reactome Gene Sets,6,R-HSA-5621481,C-type lectin receptors (CLRs),,-4.1,5.1,5.5,30169,142,374,9,2.4,0.79,841|1387|2033|2534|3845|4790|5170|5970|6714,CASP8|CREBBP|EP300|FYN|KRAS|NFKB1|PDPK1|RELA|SRC,-3,MyList
GO Biological Processes,19,GO:1903053,regulation of extracellular matrix organization,19_GO:0050789 regulation of biological process,-4.1,8.5,6.3,30169,57,374,6,1.6,0.65,25|3569|4851|5925|7040|81031,ABL1|IL6|NOTCH1|RB1|TGFB1|SLC2A10,-3,MyList
Reactome Gene Sets,6,R-HSA-6799198,Complex I biogenesis,,-4.1,8.5,6.3,30169,57,374,6,1.6,0.65,4695|4722|4723|4724|4728|374291,NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|NDUFS7,-3,MyList
Chemical And Genetic Perturbations,13,M1120,JOHANSSON GLIOMAGENESIS BY PDGFB UP,,-4.1,8.5,6.3,30169,57,374,6,1.6,0.65,595|1019|2353|2512|6774|7153,CCND1|CDK4|FOS|FTL|STAT3|TOP2A,-3,MyList
GO Biological Processes,19,GO:0140115,export across plasma membrane,19_GO:0051179 localization,-4.1,8.5,6.3,30169,57,374,6,1.6,0.65,540|3753|3757|3784|9992|10008,ATP7B|KCNE1|KCNH2|KCNQ1|KCNE2|KCNE3,-3,MyList
GO Biological Processes,19,GO:0001755,neural crest cell migration,19_GO:0032502 developmental process,-4.1,8.5,6.3,30169,57,374,6,1.6,0.65,998|1908|2668|5308|6663|6899,CDC42|EDN3|GDNF|PITX2|SOX10|TBX1,-3,MyList
Reactome Gene Sets,6,R-HSA-1483257,Phospholipid metabolism,,-4.1,4.2,5.2,30169,212,374,11,2.9,0.87,1103|5290|5291|5295|5296|5728|8503|8821|9663|23171|23396,CHAT|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PTEN|PIK3R3|INPP4B|LPIN2|GPD1L|PIP5K1C,-3,MyList
Reactome Gene Sets,6,R-HSA-5696398,Nucleotide Excision Repair,,-4.1,5.8,5.7,30169,111,374,8,2.1,0.75,1161|2033|2067|2068|5426|6117|6119|7515,ERCC8|EP300|ERCC1|ERCC2|POLE|RPA1|RPA3|XRCC1,-3,MyList
Reactome Gene Sets,6,R-HSA-9703465,Signaling by FLT3 fusion proteins,,-4.1,17,7.8,30169,19,374,4,1.1,0.53,2885|3845|5290|5295,GRB2|KRAS|PIK3CA|PIK3R1,-2.9,MyList
WikiPathways,27,WP3287,Overview of nanoparticle effects,,-4.1,17,7.8,30169,19,374,4,1.1,0.53,596|3569|3576|10000,BCL2|IL6|CXCL8|AKT3,-2.9,MyList
CORUM,33,CORUM:778,LARC complex (LCR-associated remodeling complex),,-4.1,17,7.8,30169,19,374,4,1.1,0.53,1108|6598|6605|8289,CHD4|SMARCB1|SMARCE1|ARID1A,-2.9,MyList
GO Biological Processes,19,GO:0036303,lymph vessel morphogenesis,19_GO:0032502 developmental process,-4.1,17,7.8,30169,19,374,4,1.1,0.53,2303|7422|54345|147372,FOXC2|VEGFA|SOX18|CCBE1,-2.9,MyList
GO Biological Processes,19,GO:0060977,coronary vasculature morphogenesis,19_GO:0032502 developmental process,-4.1,17,7.8,30169,19,374,4,1.1,0.53,4851|6899|7422|161742,NOTCH1|TBX1|VEGFA|SPRED1,-2.9,MyList
GO Biological Processes,19,GO:2000136,regulation of cell proliferation involved in heart morphogenesis,19_GO:0032502 developmental process,-4.1,17,7.8,30169,19,374,4,1.1,0.53,1499|2138|4851|54903,CTNNB1|EYA1|NOTCH1|MKS1,-2.9,MyList
GO Molecular Functions,21,GO:0052742,phosphatidylinositol kinase activity,,-4.1,17,7.8,30169,19,374,4,1.1,0.53,472|5290|5291|8503,ATM|PIK3CA|PIK3CB|PIK3R3,-2.9,MyList
WikiPathways,27,WP4478,LTF danger signal response pathway,,-4.1,17,7.8,30169,19,374,4,1.1,0.53,3569|3576|4790|5594,IL6|CXCL8|NFKB1|MAPK1,-2.9,MyList
Chemical And Genetic Perturbations,13,M8637,STREICHER LSM1 TARGETS DN,,-4.1,17,7.8,30169,19,374,4,1.1,0.53,2303|3569|7040|10468,FOXC2|IL6|TGFB1|FST,-2.9,MyList
GO Biological Processes,19,GO:0030534,adult behavior,19_GO:0032501 multicellular organismal process,-4.1,5.1,5.5,30169,143,374,9,2.4,0.79,582|583|585|2668|3766|4204|5465|5728|6905,BBS1|BBS2|BBS4|GDNF|KCNJ10|MECP2|PPARA|PTEN|TBCE,-2.9,MyList
KEGG Pathway,24,hsa05017,Spinocerebellar ataxia,,-4.1,5.1,5.5,30169,143,374,9,2.4,0.79,207|5290|5291|5295|5296|5599|8503|10000|146227,AKT1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK8|PIK3R3|AKT3|BEAN1,-2.9,MyList
GO Biological Processes,19,GO:0006605,protein targeting,19_GO:0051179 localization,-4.1,3.9,5.1,30169,251,374,12,3.2,0.91,950|5189|5192|5194|5195|5824|5828|8504|8546|9409|64374|89781,SCARB2|PEX1|PEX10|PEX13|PEX14|PEX19|PEX2|PEX3|AP3B1|PEX16|SIL1|HPS4,-2.9,MyList
WikiPathways,27,WP3850,Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling,,-4.1,11,6.9,30169,36,374,5,1.3,0.59,207|3479|3667|4790|5728,AKT1|IGF1|IRS1|NFKB1|PTEN,-2.9,MyList
Reactome Gene Sets,6,R-HSA-1266695,Interleukin-7 signaling,,-4.1,11,6.9,30169,36,374,5,1.3,0.59,3667|5295|5296|6774|8503,IRS1|PIK3R1|PIK3R2|STAT3|PIK3R3,-2.9,MyList
Chemical And Genetic Perturbations,13,M13327,VANHARANTA UTERINE FIBROID WITH 7Q DELETION DN,,-4.1,11,6.9,30169,36,374,5,1.3,0.59,323|1130|9533|9611|11285,APBB2|LYST|POLR1C|NCOR1|B4GALT7,-2.9,MyList
Reactome Gene Sets,6,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,,-4.1,11,6.9,30169,36,374,5,1.3,0.59,25|998|2885|5594|5879,ABL1|CDC42|GRB2|MAPK1|RAC1,-2.9,MyList
GO Molecular Functions,21,GO:0000217,DNA secondary structure binding,,-4.1,11,6.9,30169,36,374,5,1.3,0.59,25|641|3146|5889|5932,ABL1|BLM|HMGB1|RAD51C|RBBP8,-2.9,MyList
GO Biological Processes,19,GO:0006882,cellular zinc ion homeostasis,19_GO:0065007 biological regulation,-4.1,11,6.9,30169,36,374,5,1.3,0.59,540|3932|8546|23400|91252,ATP7B|LCK|AP3B1|ATP13A2|SLC39A13,-2.9,MyList
Chemical And Genetic Perturbations,13,M13220,OUELLET CULTURED OVARIAN CANCER INVASIVE VS LMP DN,,-4.1,11,6.9,30169,36,374,5,1.3,0.59,367|472|2950|7054|27241,AR|ATM|GSTP1|TH|BBS9,-2.9,MyList
Chemical And Genetic Perturbations,13,M347,WEIGEL OXIDATIVE STRESS BY HNE AND H2O2,,-4.1,11,6.9,30169,36,374,5,1.3,0.59,1000|1499|2064|2260|3725,CDH2|CTNNB1|ERBB2|FGFR1|JUN,-2.9,MyList
Reactome Gene Sets,6,R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,,-4.1,11,6.9,30169,36,374,5,1.3,0.59,2033|5054|5594|8812|25937,EP300|SERPINE1|MAPK1|CCNK|WWTR1,-2.9,MyList
Chemical And Genetic Perturbations,13,M13276,MARZEC IL2 SIGNALING DN,,-4.1,11,6.9,30169,36,374,5,1.3,0.59,472|1027|3717|8503|60675,ATM|CDKN1B|JAK2|PIK3R3|PROK2,-2.9,MyList
Reactome Gene Sets,6,R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,,-4.1,11,6.9,30169,36,374,5,1.3,0.59,595|1017|1019|1027|5925,CCND1|CDK2|CDK4|CDKN1B|RB1,-2.9,MyList
GO Biological Processes,19,GO:0060323,head morphogenesis,19_GO:0032502 developmental process,-4.1,11,6.9,30169,36,374,5,1.3,0.59,2033|5781|6899|22930|25836,EP300|PTPN11|TBX1|RAB3GAP1|NIPBL,-2.9,MyList
Chemical And Genetic Perturbations,13,M15975,LIEN BREAST CARCINOMA METAPLASTIC VS DUCTAL UP,,-4.1,6.8,5.9,30169,83,374,7,1.9,0.7,2138|3569|3576|4982|5351|5352|6648,EYA1|IL6|CXCL8|TNFRSF11B|PLOD1|PLOD2|SOD2,-2.9,MyList
Chemical And Genetic Perturbations,13,M3854,MARTINEZ RB1 AND TP53 TARGETS DN,,-4.1,2.7,4.6,30169,606,374,20,5.3,1.2,472|595|1108|1747|1908|1956|2052|2706|2950|3146|4149|4695|4851|5352|5932|7021|9488|10999|23396|80781,ATM|CCND1|CHD4|DLX3|EDN3|EGFR|EPHX1|GJB2|GSTP1|HMGB1|MAX|NDUFA2|NOTCH1|PLOD2|RBBP8|TFAP2B|PIGB|SLC27A4|PIP5K1C|COL18A1,-2.9,MyList
GO Biological Processes,19,GO:1903320,regulation of protein modification by small protein conjugation or removal,19_GO:0008152 metabolic process,-4.1,3.8,5.1,30169,252,374,12,3.2,0.91,25|207|672|701|1499|2534|5728|5970|6125|7466|8864|26354,ABL1|AKT1|BRCA1|BUB1B|CTNNB1|FYN|PTEN|RELA|RPL5|WFS1|PER2|GNL3,-2.9,MyList
Chemical And Genetic Perturbations,13,M16010,KOBAYASHI EGFR SIGNALING 24HR DN,,-4.1,3.8,5.1,30169,252,374,12,3.2,0.91,580|595|641|672|701|1017|5888|6240|6949|7153|10535|25937,BARD1|CCND1|BLM|BRCA1|BUB1B|CDK2|RAD51|RRM1|TCOF1|TOP2A|RNASEH2A|WWTR1,-2.9,MyList
GO Biological Processes,19,GO:0070661,leukocyte proliferation,19_GO:0009987 cellular process,-4.1,5,5.4,30169,144,374,9,2.4,0.79,25|596|2064|2534|3251|4763|5728|5880|7157,ABL1|BCL2|ERBB2|FYN|HPRT1|NF1|PTEN|RAC2|TP53,-2.9,MyList
Chemical And Genetic Perturbations,13,M18979,HAMAI APOPTOSIS VIA TRAIL UP,,-4.1,2.6,4.6,30169,656,374,21,5.6,1.2,472|545|641|672|701|999|3146|3479|3981|4281|4683|4724|5290|5728|5873|5932|5965|8546|10468|25836|51574,ATM|ATR|BLM|BRCA1|BUB1B|CDH1|HMGB1|IGF1|LIG4|MID1|NBN|NDUFS4|PIK3CA|PTEN|RAB27A|RBBP8|RECQL|AP3B1|FST|NIPBL|LARP7,-2.9,MyList
Chemical And Genetic Perturbations,13,M2259,KIM GLIS2 TARGETS UP,,-4.1,6.7,5.9,30169,84,374,7,1.9,0.7,2200|2212|3075|3659|4256|5054|80781,FBN1|FCGR2A|CFH|IRF1|MGP|SERPINE1|COL18A1,-2.9,MyList
GO Biological Processes,19,GO:0009953,dorsal/ventral pattern formation,19_GO:0032502 developmental process,-4.1,6.7,5.9,30169,84,374,7,1.9,0.7,429|1499|2290|3169|4010|4038|200894,ASCL1|CTNNB1|FOXG1|FOXA1|LMX1B|LRP4|ARL13B,-2.9,MyList
